nome;descricao;mapa_lat;mapa_lon
"Dois Vizinhos";"Da Luz";"-25.732525908667245";"-53.05627962499026"
"Dois Vizinhos";"Das Torres";"-25.741015500358817";"-53.05142168114123"
"Dois Vizinhos";"Sagrada Família";"-25.758255136837647";"-53.0660772711986"
"Dois Vizinhos";"Jardim da Colina";"-25.73021051552297";"-53.07040195226136"
"Dois Vizinhos";"Jardim Marcante";"-25.73736243965864";"-53.071131513113414"
"Dois Vizinhos";"São Francisco de Assis";"-25.74391477076708";"-53.06748370885316"
"Dois Vizinhos";"Esperança";"-25.755124410824227";"-53.07153920888368"
"Dois Vizinhos";"Santa Luzia";"-25.75701834898086";"-53.078083798880016"
"Dois Vizinhos";"Centro Sul";"-25.755606604518643";"-53.05741308103556"
"Dois Vizinhos";"Centro";"-25.74715746439674";"-53.05382222429283"
"Dois Vizinhos";"Centro Norte";"-25.74220998640037";"-53.056631814404355"
"Dois Vizinhos";"São Francisco Xavier";"-25.756396861200546";"-53.05041996979124"
"Dois Vizinhos";"Alto da Colina";"-25.746446006488043";"-53.06174960524505"
"Dois Vizinhos";"São judas Tadeu";"-25.74844718781723";"-53.050616552781825"
"Dois Vizinhos";"Vitória";"-25.74669741590945";"-53.07692981888188"
"Dois Vizinhos";"Santo Antônio";"-25.76687760910119";"-53.05630274683756"
"Francisco Beltrão";"Bairro Água Branca";"-26.109159627906084";"-53.05137731888971"
"Francisco Beltrão";"São Cristovão";"-26.096797247086517";"-53.04874355225609"
"Francisco Beltrão";"Bairro Cango";"-26.067488090416436";"-53.05190158022866"
"Francisco Beltrão";"Bairro Centro";"-26.0786251606901";"-53.05119227991721"
"Francisco Beltrão";"Bairro Industrial";"-26.087207606025085";"-53.04110225477892"
"Francisco Beltrão";"Bairro Jardim Seminário";"-26.080288595937603";"-53.026608619533434"
"Francisco Beltrão";"Bairro Júpter";"-26.040812679354776";"-53.052063779342475"
"Francisco Beltrão";"Bairro Luther King";"-26.064463322596048";"-53.04317815836385"
"Francisco Beltrão";"Bairro Miniguaçu";"-26.06947208948738";"-53.03290233292322"
"Francisco Beltrão";"Bairro Novo Mundo";"-26.06394006447043";"-53.07911718181394"
"Francisco Beltrão";"Bairro Sadia";"-26.03358759206557";"-53.05580209451654"
"Francisco Beltrão";"Bairro São Francisco";"-26.06700615796211";"-53.073705281997235"
"Francisco Beltrão";"Bairro Vila Nova";"-26.075425245766187";"-53.03941374470456"
"Francisco Beltrão";"Comunidade Divisor";"-26.027864347915585";"-53.082183062963914"
"Francisco Beltrão";"Bairro Alvorada";"-26.079531228184845";"-53.06492741152249"
"Francisco Beltrão";"Bairro Cantelmo";"-26.045942651203802";"-53.07653118422951"
"Francisco Beltrão";"Bairro Cristo Rei";"-26.06997793948999";"-53.066200177427014"
"Francisco Beltrão";"Bairro Jardim Floresta e Italia";"-26.04949484508756";"-53.047145980346166"
"Francisco Beltrão";"Bairro Jardim Virgínia";"-26.050493812305852";"-53.06354822863849"
"Francisco Beltrão";"Bairro Kennedy";"-26.072340547983806";"-53.04656535324013"
"Francisco Beltrão";"Bairro Marrecas";"-26.07848536718272";"-53.071912725701516"
"Francisco Beltrão";"Bairro Nossa Senhora Aparecida";"-26.082793184379472";"-53.05747722949147"
"Francisco Beltrão";"Bairro Padre Ulrico";"-26.048071139107403";"-53.035484462816"
"Francisco Beltrão";"Bairro Pinheirinho";"-26.04187190836954";"-53.063356375069176"
"Francisco Beltrão";"Bairro São Miguel";"-26.076168863635687";"-53.08062014189689"
"Francisco Beltrão";"Bairro Pinheirão";"-26.090639363663186";"-53.06562710696643"
"Francisco Beltrão";"Comunidade Km 23";"-26.04796727190186";"-53.05477299959538"
"Francisco Beltrão";"Comunidade Linha Eva e Linha Macagnan";"-26.05664166821708";"-53.10389312627454"
"Francisco Beltrão";"Comunidade Linha Hobold";"-26.057125208311664";"-53.03736421673418"
"Francisco Beltrão";"Comunidade Linha São Paula";"-26.07980739099338";"-53.021482626382145"
