cidade,Bairro,mapa_lat,mapa_lon
"Francisco Beltrão Radio","Comunidade Linha Santa Rosa - Km 08","-26.049260560250147","-53.11777351772938"
"Francisco Beltrão Radio","Comunidade São João","-26.071337733207816","-53.11644752379875"
"Francisco Beltrão Radio","Comunidade Santa Bárbara","-26.079713144194915","-53.08799285952603"
"Francisco Beltrão Radio","Comunidade Linha Formiga","-26.100877974006412","-53.10344994341593"
"Francisco Beltrão Radio","Comunidade Rio do Mato","-26.025597414013966","-53.09071693107405"
"Francisco Beltrão Radio","Comunidade Rio Erval – Km 15","-26.024383629176132","-53.03300938971175"
"Francisco Beltrão Radio","Bairro Água Branca","-26.091485798404566","-52.99571934012244"
"Francisco Beltrão Radio","Comunidade Rio Guarapuava","-26.107066034894903","-53.01907902468797"
"Francisco Beltrão Radio","Comunidade Linha Volpato","-26.11754121992032","-53.06354555475749"
"Francisco Beltrão Radio","Comunidade Rio Pedreirinho","-26.108396486012392","-53.09560658541451"
"Francisco Beltrão Radio","Comunidade Vila Rural Gralha Azul","-26.086807175865935","-53.10927884681478"
"Francisco Beltrão Radio","Comunidade Secção Progresso","-26.03706199279184","-53.120169417765794"
"Francisco Beltrão Radio","Comunidade Vila Lobos","-26.079090407313636","-52.98356443190831"
"Francisco Beltrão Radio","Comunidade Linha Triton","-26.042922967196205","-52.99618673165974"
"Francisco Beltrão Radio","Comunidade Lageado Grande","-26.009322013639682","-53.07939163918491"
"Francisco Beltrão Radio","Comunidade Jacutinga","-26.123280538349523","-53.08913798884918"
"Francisco Beltrão Radio","Comunidade Assentamento Missões","-26.112434937693305","-53.10816009379126"
"Francisco Beltrão Radio","Comunidade Divisor","-26.09338130666164","-53.114074138201254"
"Francisco Beltrão Radio","Comunidade São Francisco de Assis","-26.106852082941156","-53.12228806919213"
"Francisco Beltrão Radio","Comunidade Secção São Miguel","-26.06498041765668","-52.99627813350957"
"Francisco Beltrão Radio","Comunidade São Pio X – Km 20","-26.071510559835342","-52.97516703692897"
"Francisco Beltrão Radio","Comunidade Secção Jacaré","-26.068277219040947","-52.96917500862488"
